name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
國軍桃園總醫院新竹分院附設民眾診療服務處,813國軍新竹,47271398,TSHN,AFMS,true,false,區域醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,魏伶華,,120天收款,,,
三軍總醫院基隆分院附設民眾診療服務處,基三總,04125805,TSKN,AFMS,true,false,區域醫院,N,北,,false,李暐,0039,北區業務一課,楊斯閔,,90天收款,30,,
國軍高雄總醫院附設民眾診療服務處,802國軍高雄,76001303,TSKS,AFMS,true,false,區域醫院,S,南,,false,陳怡安,0081,南區業務一課,黃映晨,,120天收款,30,,
三軍總醫院澎湖分院附設民眾診療服務處,三總澎湖,62915686,TSPO,AFMS,true,false,區域醫院,X,離島,,false,李暐,0039,北區業務一課,黃映晨,,90天收款,30,,
三軍總醫院松山分院附設民眾診療服務處,三總松山,04171321,TSSN,AFMS,true,false,區域醫院,N,北,,false,李暐,0039,北區業務一課,黃映晨,,60天收款,30,,
國軍臺中總醫院,803國軍台中,52292226,TSTM,AFMS,true,false,區域醫院,M,中,,false,溫婉婷/劉婷方,0007,中區業務一課,楊斯閔,,90天收款,30,,
國軍桃園總醫院附設民眾診療服務處,804國軍桃園,69101806,TSYN,AFMS,true,false,區域醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,魏伶華,,90天收款,30,,
國軍左營總醫院附設民眾診療服務處,806國軍左營,83393467,TSZS,AFMS,true,false,區域醫院,S,南,,false,陳怡安,0081,南區業務一課,關雅婷,,120天收款,30,,
童綜合醫療社團法人童綜合醫院梧棲院區,童綜合,45485578,TTWM,TTH,true,false,區域醫院,M,中,,false,溫婉婷/張緯棋,0033,中區業務一課,楊斯閔,,180天收款,30,,
弘光科技大學,弘光科大,56503102,UHKM,UNIV,true,false,大學,M,中,,false,鄒婉萱,0089,中區業務一課,關雅婷,,60天收款,30,,
